",,",,,,,,,,,,,,,,,,,,,,
Stock Item Key,WWI Stock Item ID,Stock Item,Color,Selling Package,Buying Package,Brand,Size,Lead Time Days,Quantity Per Outer,Is Chiller Stock,Barcode,Tax Rate,Unit Price, Recommended Retail Price ,Typical Weight Per Unit,Photo,Discount,Valid From,Valid To,Lineage Key
45,175,Bubblewrap dispenser (Blue) 1.5m,Blue,Each,Each,N/A,1.5m,14,1,0,N/A,14,240, ? 358.800 ,10,NULL,,00:00.0,00:00.0,5
46,174,Bubblewrap dispenser (Black) 1.5m,Black,Each,Each,N/A,1.5m,14,1,0,N/A,14,240, ? 358.800 ,10,NULL,,00:00.0,00:00.0,5
47,173,32 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,N/A,50m,14,10,0,N/A,14,105, ? 156.980 ,10,NULL,,00:00.0,00:00.0,5
48,172,32 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,N/A,20m,14,10,0,N/A,14,48, ? 71.760 ,6,NULL,,00:00.0,00:00.0,5
49,171,32 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,N/A,10m,14,10,0,N/A,14,32, ? 47.840 ,5,NULL,,00:00.0,00:00.0,5
50,170,20 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,N/A,50m,14,10,0,N/A,14,102, ? 152.490 ,10,NULL,,00:00.0,00:00.0,5
51,169,20 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,N/A,20m,14,10,0,N/A,14,45, ? 67.280 ,6,NULL,,00:00.0,00:00.0,5
52,168,20 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,N/A,10m,14,10,0,N/A,14,29, ? 43.360 ,5,NULL,,00:00.0,00:00.0,5
53,167,10 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,N/A,50m,14,10,0,N/A,14,99, ? 148.010 ,10,NULL,,00:00.0,00:00.0,5
54,166,10 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,N/A,20m,14,10,0,N/A,14,42, ? 62.790 ,6,NULL,,00:00.0,00:00.0,5
55,165,10 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,N/A,10m,14,10,0,N/A,14,26, ? 38.870 ,5,NULL,,00:00.0,00:00.0,5
56,164,32 mm Double sided bubble wrap 50m,N/A,Each,Each,N/A,50m,14,10,0,N/A,14,112, ? 167.440 ,10,NULL,,00:00.0,00:00.0,5
57,163,32 mm Double sided bubble wrap 20m,N/A,Each,Each,N/A,20m,14,10,0,N/A,14,37, ? 55.320 ,6,NULL,,00:00.0,00:00.0,5
58,162,32 mm Double sided bubble wrap 10m,N/A,Each,Each,N/A,10m,14,10,0,N/A,14,22, ? 32.890 ,5,NULL,,00:00.0,00:00.0,5
59,161,20 mm Double sided bubble wrap 50m,N/A,Each,Each,N/A,50m,14,10,0,N/A,14,108, ? 161.460 ,10,NULL,,00:00.0,00:00.0,5
60,160,20 mm Double sided bubble wrap 20m,N/A,Each,Each,N/A,20m,14,10,0,N/A,14,33, ? 49.340 ,6,NULL,,00:00.0,00:00.0,5
61,159,20 mm Double sided bubble wrap 10m,N/A,Each,Each,N/A,10m,14,10,0,N/A,14,18, ? 26.910 ,5,NULL,,00:00.0,00:00.0,5
62,158,10 mm Double sided bubble wrap 50m,N/A,Each,Each,N/A,50m,14,10,0,N/A,14,105, ? 156.980 ,10,NULL,,00:00.0,00:00.0,5
63,157,10 mm Double sided bubble wrap 20m,N/A,Each,Each,N/A,20m,14,10,0,N/A,14,30, ? 44.850 ,6,NULL,,00:00.0,00:00.0,5
64,156,10 mm Double sided bubble wrap 10m,N/A,Each,Each,N/A,10m,14,10,0,N/A,14,15, ? 22.430 ,5,NULL,,00:00.0,00:00.0,5
65,155,Large sized bubblewrap roll 50m,N/A,Each,Each,N/A,50m,14,10,0,N/A,14,24, ? 35.880 ,10,NULL,,00:00.0,00:00.0,5
66,154,Medium sized bubblewrap roll 20m,N/A,Each,Each,N/A,20m,14,10,0,N/A,14,20, ? 29.900 ,6,NULL,,00:00.0,00:00.0,5
67,153,Small sized bubblewrap roll 10m,N/A,Each,Each,N/A,10m,14,10,0,N/A,14,4.5, ? 6.730 ,5,NULL,,00:00.0,00:00.0,5
68,152,Pack of 12 action figures (female),N/A,Packet,Packet,N/A,N/A,2,1,0,N/A,2,16, ? 23.920 ,0.25,NULL,,00:00.0,00:00.0,5
69,151,Pack of 12 action figures (male),N/A,Packet,Packet,N/A,N/A,2,1,0,N/A,2,16, ? 23.920 ,0.25,NULL,,00:00.0,00:00.0,5
70,150,Pack of 12 action figures (variety),N/A,Packet,Packet,N/A,N/A,2,1,0,N/A,2,16, ? 23.920 ,0.25,NULL,,00:00.0,00:00.0,5
71,149,Halloween skull mask (Gray) XL,Gray,Each,Carton,N/A,XL,12,12,0,N/A,12,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
72,148,Halloween skull mask (Gray) L,Gray,Each,Carton,N/A,L,12,12,0,N/A,12,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
73,147,Halloween skull mask (Gray) M,Gray,Each,Carton,N/A,M,12,12,0,N/A,12,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
74,146,Halloween skull mask (Gray) S,Gray,Each,Carton,N/A,S,12,12,0,N/A,12,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
75,145,Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,N/A,XL,12,12,0,N/A,12,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
76,144,Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,N/A,L,12,12,0,N/A,12,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
77,143,Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,N/A,M,12,12,0,N/A,12,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
78,142,Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,N/A,S,12,12,0,N/A,12,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
79,141,Furry animal socks (Pink) XL,N/A,Pair,Packet,N/A,XL,12,12,0,N/A,12,5, ? 7.480 ,0.1,NULL,,00:00.0,00:00.0,5
80,140,Furry animal socks (Pink) L,N/A,Pair,Packet,N/A,L,12,12,0,N/A,12,5, ? 7.480 ,0.1,NULL,,00:00.0,00:00.0,5
81,139,Furry animal socks (Pink) M,N/A,Pair,Packet,N/A,M,12,12,0,N/A,12,5, ? 7.480 ,0.1,NULL,,00:00.0,00:00.0,5
82,138,Furry animal socks (Pink) S,N/A,Pair,Packet,N/A,S,12,12,0,N/A,12,5, ? 7.480 ,0.1,NULL,,00:00.0,00:00.0,5
83,137,Animal with big feet slippers (Brown) XL,N/A,Each,Each,N/A,XL,12,1,0,N/A,12,32, ? 47.840 ,0.4,NULL,,00:00.0,00:00.0,5
84,136,Animal with big feet slippers (Brown) L,N/A,Each,Each,N/A,L,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
85,135,Animal with big feet slippers (Brown) M,N/A,Each,Each,N/A,M,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
86,134,Animal with big feet slippers (Brown) S,N/A,Each,Each,N/A,S,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
87,133,Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,N/A,XL,12,1,0,N/A,12,32, ? 47.840 ,0.4,NULL,,00:00.0,00:00.0,5
88,132,Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,N/A,L,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
89,131,Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,N/A,M,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
90,130,Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,N/A,S,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
91,129,Plush shark slippers (Gray) XL,Gray,Each,Each,N/A,XL,12,1,0,N/A,12,32, ? 47.840 ,0.4,NULL,,00:00.0,00:00.0,5
92,128,Plush shark slippers (Gray) L,Gray,Each,Each,N/A,L,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
93,127,Plush shark slippers (Gray) M,Gray,Each,Each,N/A,M,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
94,126,Plush shark slippers (Gray) S,Gray,Each,Each,N/A,S,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
95,125,Ogre battery-powered slippers (Green) XL,N/A,Each,Each,N/A,XL,12,1,0,N/A,12,32, ? 47.840 ,0.4,NULL,,00:00.0,00:00.0,5
96,124,Ogre battery-powered slippers (Green) L,N/A,Each,Each,N/A,L,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
97,123,Ogre battery-powered slippers (Green) M,N/A,Each,Each,N/A,M,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
98,122,Ogre battery-powered slippers (Green) S,N/A,Each,Each,N/A,S,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
99,121,Dinosaur battery-powered slippers (Green) XL,N/A,Each,Each,N/A,XL,12,1,0,N/A,12,32, ? 47.840 ,0.4,NULL,,00:00.0,00:00.0,5
100,120,Dinosaur battery-powered slippers (Green) L,N/A,Each,Each,N/A,L,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
101,119,Dinosaur battery-powered slippers (Green) M,N/A,Each,Each,N/A,M,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
102,118,Dinosaur battery-powered slippers (Green) S,N/A,Each,Each,N/A,S,12,1,0,N/A,12,32, ? 47.840 ,0.35,NULL,,00:00.0,00:00.0,5
103,117,Superhero action jacket (Blue) 5XL,Blue,Each,Each,N/A,5XL,12,1,0,N/A,12,34, ? 50.830 ,0.4,NULL,,00:00.0,00:00.0,5
104,116,Superhero action jacket (Blue) 4XL,Blue,Each,Each,N/A,4XL,12,1,0,N/A,12,34, ? 50.830 ,0.4,NULL,,00:00.0,00:00.0,5
105,115,Superhero action jacket (Blue) 3XL,Blue,Each,Each,N/A,3XL,12,1,0,N/A,12,34, ? 50.830 ,0.4,NULL,,00:00.0,00:00.0,5
106,114,Superhero action jacket (Blue) XXL,Blue,Each,Each,N/A,XXL,12,1,0,N/A,12,30, ? 44.850 ,0.35,NULL,,00:00.0,00:00.0,5
107,113,Superhero action jacket (Blue) XL,Blue,Each,Each,N/A,XL,12,1,0,N/A,12,30, ? 44.850 ,0.35,NULL,,00:00.0,00:00.0,5
108,112,Superhero action jacket (Blue) L,Blue,Each,Each,N/A,L,12,1,0,N/A,12,30, ? 44.850 ,0.35,NULL,,00:00.0,00:00.0,5
109,111,Superhero action jacket (Blue) M,Blue,Each,Each,N/A,M,12,1,0,N/A,12,30, ? 44.850 ,0.35,NULL,,00:00.0,00:00.0,5
110,110,Superhero action jacket (Blue) S,Blue,Each,Each,N/A,S,12,1,0,N/A,12,25, ? 37.380 ,0.3,NULL,,00:00.0,00:00.0,5
111,109,Superhero action jacket (Blue) XS,Blue,Each,Each,N/A,XS,12,1,0,N/A,12,25, ? 37.380 ,0.3,NULL,,00:00.0,00:00.0,5
112,108,Superhero action jacket (Blue) XXS,Blue,Each,Each,N/A,XXS,12,1,0,N/A,12,25, ? 37.380 ,0.3,NULL,,00:00.0,00:00.0,5
113,107,Superhero action jacket (Blue) 3XS,Blue,Each,Each,N/A,3XS,12,1,0,N/A,12,25, ? 37.380 ,0.3,NULL,,00:00.0,00:00.0,5
114,106,Alien officer hoodie (Black) 5XL,Black,Each,Each,N/A,5XL,12,1,0,N/A,12,35, ? 52.330 ,0.4,NULL,,00:00.0,00:00.0,5
115,105,Alien officer hoodie (Black) 4XL,Black,Each,Each,N/A,4XL,12,1,0,N/A,12,35, ? 52.330 ,0.4,NULL,,00:00.0,00:00.0,5
116,104,Alien officer hoodie (Black) 3XL,Black,Each,Each,N/A,3XL,12,1,0,N/A,12,35, ? 52.330 ,0.4,NULL,,00:00.0,00:00.0,5
117,103,Alien officer hoodie (Black) XXL,Black,Each,Each,N/A,XXL,12,1,0,N/A,12,35, ? 52.330 ,0.4,NULL,,00:00.0,00:00.0,5
118,102,Alien officer hoodie (Black) XL,Black,Each,Each,N/A,XL,12,1,0,N/A,12,35, ? 52.330 ,0.4,NULL,,00:00.0,00:00.0,5
119,101,The Gu red shirt XML tag t-shirt (Black) 7XL,Black,Each,Carton,N/A,7XL,7,12,0,N/A,7,18, ? 26.910 ,0.45,NULL,,00:00.0,00:00.0,5
120,100,The Gu red shirt XML tag t-shirt (Black) 6XL,Black,Each,Carton,N/A,6XL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
121,99,The Gu red shirt XML tag t-shirt (Black) 5XL,Black,Each,Carton,N/A,5XL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
122,98,The Gu red shirt XML tag t-shirt (Black) 4XL,Black,Each,Carton,N/A,4XL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
123,97,The Gu red shirt XML tag t-shirt (Black) 3XL,Black,Each,Carton,N/A,3XL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
124,96,The Gu red shirt XML tag t-shirt (Black) XXL,Black,Each,Carton,N/A,XXL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
125,95,The Gu red shirt XML tag t-shirt (Black) XL,Black,Each,Carton,N/A,XL,7,12,0,N/A,7,18, ? 26.910 ,0.35,NULL,,00:00.0,00:00.0,5
126,94,The Gu red shirt XML tag t-shirt (Black) L,Black,Each,Carton,N/A,L,7,12,0,N/A,7,18, ? 26.910 ,0.35,NULL,,00:00.0,00:00.0,5
127,93,The Gu red shirt XML tag t-shirt (Black) M,Black,Each,Carton,N/A,M,7,12,0,N/A,7,18, ? 26.910 ,0.35,NULL,,00:00.0,00:00.0,5
128,92,The Gu red shirt XML tag t-shirt (Black) S,Black,Each,Carton,N/A,S,7,12,0,N/A,7,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
129,91,The Gu red shirt XML tag t-shirt (Black) XS,Black,Each,Carton,N/A,XS,7,12,0,N/A,7,18, ? 26.910 ,0.25,NULL,,00:00.0,00:00.0,5
130,90,The Gu red shirt XML tag t-shirt (Black) XXS,Black,Each,Carton,N/A,XXS,7,12,0,N/A,7,18, ? 26.910 ,0.25,NULL,,00:00.0,00:00.0,5
131,89,The Gu red shirt XML tag t-shirt (Black) 3XS,Black,Each,Carton,N/A,3XS,7,12,0,N/A,7,18, ? 26.910 ,0.25,NULL,,00:00.0,00:00.0,5
132,88,The Gu red shirt XML tag t-shirt (White) 7XL,White,Each,Carton,N/A,7XL,7,12,0,N/A,7,18, ? 26.910 ,0.45,NULL,,00:00.0,00:00.0,5
133,87,The Gu red shirt XML tag t-shirt (White) 6XL,White,Each,Carton,N/A,6XL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
134,86,The Gu red shirt XML tag t-shirt (White) 5XL,White,Each,Carton,N/A,5XL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
135,85,The Gu red shirt XML tag t-shirt (White) 4XL,White,Each,Carton,N/A,4XL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
136,84,The Gu red shirt XML tag t-shirt (White) 3XL,White,Each,Carton,N/A,3XL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
137,83,The Gu red shirt XML tag t-shirt (White) XXL,White,Each,Carton,N/A,XXL,7,12,0,N/A,7,18, ? 26.910 ,0.4,NULL,,00:00.0,00:00.0,5
138,82,The Gu red shirt XML tag t-shirt (White) XL,White,Each,Carton,N/A,XL,7,12,0,N/A,7,18, ? 26.910 ,0.35,NULL,,00:00.0,00:00.0,5
139,81,The Gu red shirt XML tag t-shirt (White) L,White,Each,Carton,N/A,L,7,12,0,N/A,7,18, ? 26.910 ,0.35,NULL,,00:00.0,00:00.0,5
140,80,The Gu red shirt XML tag t-shirt (White) M,White,Each,Carton,N/A,M,7,12,0,N/A,7,18, ? 26.910 ,0.35,NULL,,00:00.0,00:00.0,5
141,79,The Gu red shirt XML tag t-shirt (White) S,White,Each,Carton,N/A,S,7,12,0,N/A,7,18, ? 26.910 ,0.3,NULL,,00:00.0,00:00.0,5
142,78,The Gu red shirt XML tag t-shirt (White) XS,White,Each,Carton,N/A,XS,7,12,0,N/A,7,18, ? 26.910 ,0.25,NULL,,00:00.0,00:00.0,5
143,77,The Gu red shirt XML tag t-shirt (White) XXS,White,Each,Carton,N/A,XXS,7,12,0,N/A,7,18, ? 26.910 ,0.25,NULL,,00:00.0,00:00.0,5
144,76,The Gu red shirt XML tag t-shirt (White) 3XS,White,Each,Carton,N/A,3XS,7,12,0,N/A,7,18, ? 26.910 ,0.25,NULL,,00:00.0,00:00.0,5
145,75,Ride on big wheel monster truck (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,345, ? 515.780 ,21,NULL,,00:00.0,00:00.0,5
146,74,Ride on vintage American toy coupe (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,285, ? 426.080 ,18,NULL,,00:00.0,00:00.0,5
147,73,Ride on vintage American toy coupe (Red) 1/12 scale,Red,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,285, ? 426.080 ,18,NULL,,00:00.0,00:00.0,5
148,72,Ride on toy sedan car (Pink) 1/12 scale,N/A,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,230, ? 343.850 ,15,NULL,,00:00.0,00:00.0,5
149,71,Ride on toy sedan car (Yellow) 1/12 scale,Yellow,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,230, ? 343.850 ,15,NULL,,00:00.0,00:00.0,5
150,70,Ride on toy sedan car (Green) 1/12 scale,N/A,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,230, ? 343.850 ,15,NULL,,00:00.0,00:00.0,5
151,69,Ride on toy sedan car (Blue) 1/12 scale,Blue,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,230, ? 343.850 ,15,NULL,,00:00.0,00:00.0,5
152,68,Ride on toy sedan car (Red) 1/12 scale,Red,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,230, ? 343.850 ,15,NULL,,00:00.0,00:00.0,5
153,67,Ride on toy sedan car (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14,230, ? 343.850 ,15,NULL,,00:00.0,00:00.0,5
154,66,RC big wheel monster truck with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,45, ? 67.280 ,1.8,NULL,,00:00.0,00:00.0,5
