Customer Data,,,,,,,,,,,
Customer Key,WWI Customer ID,Customer,Bill To Customer,Category,Buying Group,Primary Contact,Postal Code, Credit Limit ,Valid From,Valid To,Lineage Key
57,57,"Tailspin Toys (Lakemore, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aile Mae,90347," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
58,58,"Tailspin Toys (Mappsburg, VA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Pratap Varghese,90678," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
59,59,"Tailspin Toys (Edgartown, MA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Margita Kopecka,90684," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
60,60,"Tailspin Toys (East Dailey, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lekha Mitra,90548," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
61,61,"Tailspin Toys (Fairfield Glade, TN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Abhoy PrabhupÄda,90050," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
62,62,"Tailspin Toys (Great Neck Estates, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alida Caune,90240," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
63,63,"Tailspin Toys (Stallion Springs, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Agnes Szolosy,90076," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
64,64,"Tailspin Toys (Hodgdon, ME)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Rohana Kaskar,90673," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
65,65,"Tailspin Toys (North Cowden, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hanuman Dubey,90406," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
66,66,"Tailspin Toys (Madaket, MA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bao Dao,90614," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
67,67,"Tailspin Toys (Sentinel Butte, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Preyakshna Aluri,90422," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
68,68,"Tailspin Toys (Gardere, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Valentina Conti,90136," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
69,69,"Tailspin Toys (Lytle Creek, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Theodore Saucier,90795," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
70,70,"Tailspin Toys (New Baden, IL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Mariana Fierro,90235," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
71,71,"Tailspin Toys (Good Hart, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Afshin Djalili,90466," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
72,72,"Tailspin Toys (Cortaro, AZ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bianh Phan,90351," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
73,73,"Tailspin Toys (Cokato, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Koknesis Vitols,90311," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
74,74,"Tailspin Toys (Indios, PR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Roxane Rastgu,90193," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
75,75,"Tailspin Toys (Windsor Locks, CT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vlasta Srbova,90456," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
76,76,"Tailspin Toys (Yewed, OK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lata Babu,90308," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
77,77,"Tailspin Toys (Hahira, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Airi Vassiljev,90706," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
78,78,"Tailspin Toys (Sekiu, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Duleep Walia,90686," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
79,79,"Tailspin Toys (Page City, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Matyas Macek,90316," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
80,80,"Tailspin Toys (Valdese, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bharat Ankitham,90541," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
81,81,"Tailspin Toys (Big Moose, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vera Kubatova,90798," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
82,82,"Tailspin Toys (La Cueva, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Rakesh Nishad,90253," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
83,83,"Tailspin Toys (Absecon, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sang Tran,90540," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
84,84,"Tailspin Toys (Aceitunas, PR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Eekalabya Bose,90213," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
85,85,"Tailspin Toys (Andrix, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tommy Kilpi,90653," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
86,86,"Tailspin Toys (New Lexington, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Andrea Ricci,90637," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
87,87,"Tailspin Toys (Sauquoit, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Isabell  Duperre,90199," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
88,88,"Tailspin Toys (Dracut, MA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Amarendra Ankitham,90519," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
89,89,"Tailspin Toys (Victory Gardens, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aakarsha Nookala,90461," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
90,90,"Tailspin Toys (Tolna, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Stanislav Sedlar,90089," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
91,91,"Tailspin Toys (Alstead, NH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,GokCe Karaca,90073," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
92,92,"Tailspin Toys (Sans Souci, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Coralie Emond,90553," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
93,93,"Tailspin Toys (Clewiston, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Karina Celmina,90354," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
94,94,"Tailspin Toys (Cheyenne Wells, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Teresa Pisani,90449," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
95,95,"Tailspin Toys (Lavon, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alba Ponce,90310," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
96,96,"Tailspin Toys (South La Paloma, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Piper Leigh,90792," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
97,97,"Tailspin Toys (Manchester Center, VT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Karie Seymour,90179," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
98,98,"Tailspin Toys (El Centro, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Timea Peto,90573," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
99,99,"Tailspin Toys (Guin, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Victoria Ene,90779, ? 50.000000 ,00:00.0,###############################################################################################################################################################################################################################################################,2
100,100,"Tailspin Toys (Tunnelhill, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bhavani Bhowmick,90788," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
101,101,"Tailspin Toys (Cundiyo, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Yasmine Berggren,90515," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
102,102,"Tailspin Toys (Fieldbrook, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tea Koppel,90205," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
103,103,"Tailspin Toys (Kalvesta, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Naseem Radan,90130," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
104,104,"Tailspin Toys (Wallagrass, ME)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Laboni Deb,90579," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
105,105,"Tailspin Toys (Tomnolen, MS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sung-Hwan Hwang,90400," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
106,106,"Tailspin Toys (Tumacacori, AZ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Shiva Pipalia,90662," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
107,107,"Tailspin Toys (Glen Avon, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Karie Mercier,90782," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
108,108,"Tailspin Toys (Bernie, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bhanu Thota,90045," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
109,109,"Tailspin Toys (South Laguna, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ae-Cha Joo,90247," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
110,110,"Tailspin Toys (North Crows Nest, IN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dinara Saparkyzy,90792," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
111,111,"Tailspin Toys (Oriole Beach, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Adam Dvorak,90436," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
112,112,"Tailspin Toys (Sallyards, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ingrida Celmina,90706," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
113,113,"Tailspin Toys (Dahlia, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jae-Hwa Jang,90264," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
114,114,"Tailspin Toys (Cherry Grove Beach, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Duck-Hwan Bae,90146," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
115,115,"Tailspin Toys (Bethania, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jagoda Vasiljevic,90368," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
116,116,"Tailspin Toys (Rafael Capó, PR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Toma Nastase,90685," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
117,117,"Tailspin Toys (Scofield, UT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Valerio Cardoso,90237," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
118,118,"Tailspin Toys (Vassalboro, ME)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ileana Aguilar,90546," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
119,119,"Tailspin Toys (Statenville, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tjasa Weitzer,90504," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
120,120,"Tailspin Toys (Bratenahl, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lucas Van Veenen,90154," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
121,121,"Tailspin Toys (Elrosa, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Steven Frasier,90079," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
122,122,"Tailspin Toys (McClave, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Mauri Enestam,90439," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
123,123,"Tailspin Toys (Roe Park, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ella Zvirbule,90775," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
124,124,"Tailspin Toys (Hanoverton, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sevim AydÄ±n,90770," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
125,125,"Tailspin Toys (Annamoriah, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Blanka Stavinohova,90485," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
126,126,"Tailspin Toys (Francis Mills, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Akanksha Iyengar,90743," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
127,127,"Tailspin Toys (Point Roberts, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kertu Smirnov,90504," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
128,128,"Tailspin Toys (East Portal, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jure Grabensek,90432," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
129,129,"Tailspin Toys (Mineral Hills, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Javiera Madera,90442," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
130,130,"Tailspin Toys (Maple Shade, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aija Mottola,90549," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
